Missing_Rule,MF RMSE,Ridge RMSE,MEAN RMSE,MIWAE RMSE
C0_lower,0.06924576355841638,0.04836712572179657,0.09606511891860571,0.0010496842051222915
C0_upper,0.8632641743009464,0.9942585931697931,0.7977835933618233,0.0
C1_lower,0.09101873476055304,0.10200004792428709,0.10900434496971105,0.01073233134745368
C1_upper,0.7127802495070787,0.6978481322903909,0.6607562528324267,0.03322403106479944
C2_lower,0.0764959156315259,0.07463770840782726,0.07297064008093071,0.0009697305410830266
C2_upper,0.809618258885354,0.8222712987760461,0.7818967264559613,0.05696675729266481
C3_lower,0.027534884048201633,0.018388849943562414,0.10184637567668922,0.0
C3_upper,0.7929108559652087,1.372590250645291,0.37301664738193535,0.02917750098355494
C4_lower,0.03819225982635808,0.03492971516817719,0.04477266797844698,0.002479045265751198
C4_upper,0.8336614930594008,0.8363912554816699,0.7487859835929969,0.02381905621488668
C5_lower,0.04147515118912499,0.03991007352490083,0.060934140016731045,0.0
C5_upper,0.7429945799319883,0.7683981181992484,0.6072833753101582,0.022756447937257458
C6_lower,0.07506600348470177,0.07120479528966314,0.13383196775403527,0.0
C6_upper,0.8687503987689924,0.9269650872811249,0.7279646907639424,7.871077679459929e-05
C7_lower,0.012379143774727343,0.03853437861892748,0.06842447216350987,0.0
C7_upper,0.9528567181444026,1.25152411012097,0.632988935754706,0.01921881677885194
